ID,SMILES,Affinity(kcal/mol)
CHEMBL3974456,Cc1c(c(n[nH]1)C)c2cc(cc3c2nc([nH]3)C4CC4)c5c(noc5C)C,
CHEMBL3912346,Cc1c(c(n[nH]1)C)c2cc(cc3c2nc([nH]3)NC4CC4)c5c(noc5C)C,
CHEMBL3975427,Cc1c(c(n[nH]1)C)c2cc(cc3c2nc([nH]3)NCC4CC4)c5c(noc5C)C,
CHEMBL3946085,Cc1c(c(n[nH]1)C)c2cc(cc3c2nc([nH]3)C4CC4(F)F)c5c(noc5C)C,
CHEMBL3969225,Cc1c(c(n[nH]1)C)c2cc(cc3c2n(c(n3)C4CC4)C)c5c(noc5C)C,
CHEMBL3917785,Cc1c(c(n[nH]1)C)c2cc(cc3c2nc([nH]3)N)c4c(noc4C)C,
CHEMBL3935133,Cc1c(c(n[nH]1)C)c2cc(cc3c2nc([nH]3)C)c4c(noc4C)C,
CHEMBL3585450,Cc1cc2c(cnc(c2[nH]c1=O)NC3CC[NH2+]CC3)c4cccnc4C,
CHEMBL4205364,Cc1c(c(n(n1)C)C)NC(=O)c2ccc3c(c2)N(C(C(=O)N3C)C)C4CC4,
CHEMBL3785668,Cc1nnc2n1-c3ccccc3C(=CC2Cc4nnc(o4)C)c5ccc(cc5)Cl,
CHEMBL3785917,Cc1nnc2n1cc(nc2NC(C)C)c3nc4cnc(cc4n3C(C)CC5CC5)N6CCOCC6C,
CHEMBL4097251,Cc1nnc2n1cc(nc2NC(C)C)c3nc4cnc(cc4n3C(C)CC5CC5)N6CCOCC6C,
CHEMBL3108803,Cc1nnc2n1nc(c3c2cccc3)c4ccc(c(c4)NS(=O)(=O)c5ccc(cc5)Cl)N6CCOCC6,
CHEMBL3108801,Cc1nnc2n1nc(c3c2cccc3)c4ccc(c(c4)NS(=O)(=O)c5ccccc5Cl)N6CCOCC6,
CHEMBL3108800,Cc1nnc2n1nc(c3c2cccc3)c4ccc(c(c4)NS(=O)(=O)C)N5CCOCC5,
CHEMBL4074924,Cc1nnc2n1nc(cc2)c3cnn(c3Oc4ccccc4)C,
CHEMBL4177080,Cc1c-2n(nn1)CCN(c3c2ccc(c3)c4cc[nH]n4)c5ccc(cc5)Cl,
CHEMBL4168815,Cc1c-2n(nn1)CCN(c3c2ccc(c3)c4ccc(nc4)N)c5ccc(cc5)Cl,
CHEMBL4176672,Cc1c-2n(nn1)CCN(c3c2ccc(c3)c4cnc(nc4)N)c5ccc(cc5)Cl,
CHEMBL4165389,Cc1c-2[n+](n[nH]1)CCN(c3c2ccc(c3)c4[n-]nnn4)c5ccc(cc5)Cl,
CHEMBL4173105,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C#N)c4ccc(cc4)Cl,
CHEMBL4166671,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)NC(c4ccccc4)c5ccccc5)c6ccc(cc6)Cl,
CHEMBL4166286,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)NCc4ccccc4)c5ccc(cc5)Cl,
CHEMBL4174587,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)NS(=O)(=O)c4ccccc4)c5ccc(cc5)Cl,
CHEMBL4167362,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)NS(=O)(=O)C)c4ccc(cc4)Cl,
CHEMBL4173537,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)NC(C)c4ccc(cc4)F)c5ccc(cc5)Cl,
CHEMBL4162832,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)NC(C)c4ccccc4)c5ccc(cc5)Cl,
CHEMBL4176902,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)NC(C)c4ccccc4)c5ccc(cc5)Cl,
CHEMBL4169698,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)Nc4ccccc4)c5ccc(cc5)Cl,
CHEMBL4166861,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)[O-])c4ccc(cc4)Cl,
CHEMBL4161767,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(=O)N)c4ccc(cc4)Cl,
CHEMBL4165200,Cc1c-2n(nn1)CCN(c3c2ccc(c3)C(C(F)(F)F)O)c4ccc(cc4)Cl,
CHEMBL4166455,Cc1c-2n(nn1)CCN(c3c2ccc(c3)CO)c4ccc(cc4)Cl,
CHEMBL4161952,Cc1c-2n(nn1)CCN(c3c2ccc(c3)Cn4cccn4)c5ccc(cc5)Cl,
CHEMBL4174918,Cc1c-2n(nn1)CCN(c3c2cccc3)Cc4cccc(c4)Br,
CHEMBL4169877,Cc1c-2n(nn1)CCN(c3c2cccc3)c4ccc(cc4)Cl,
