ID,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL3979343,13.317537719079164,13.317537719079164,0.1226874981803392,-3.7747209932430086,0.484644753367636,15.871794871794872,547.6410000000002,518.4090000000003,547.2001734080001,202,0,0.2597875831850663,-0.3365330029244032,0.3365330029244032,0.2597875831850663,1.051282051282051,1.794871794871795,2.5128205128205128,32.23344867399186,10.01912724838156,2.352520758343551,-2.333896349036793,2.451542184387862,-2.497537466567606,7.888942649829902,-0.1266524393333667,3.017979261064073,1.3988832038478547,1582.694872361989,27.89661226763952,21.956209353958435,22.77270593488616,18.59459258180437,12.379671118090435,13.819734446891076,9.432573544451383,11.37050852439305,6.930420188979918,8.825057055576325,4.718380865669655,6.186972374255437,-4.289999999999999,530775501.4273644,26.32241767487122,10.11639313989031,4.837227940103754,226.9710023695622,20.016517796557764,5.687386274683562,5.817862777835028,21.878810163745584,5.907179729351506,0.0,9.589074368143644,13.401775505276143,9.289194512243444,0.0,24.27512131221871,43.33159264883256,45.96175586368824,22.343164813511407,18.00687135247258,21.8376506121106,0.0,19.173082764041126,0.0,6.923737199690624,55.39097765471196,106.16711618306071,0.0,0.0,15.116608065707286,0.0,0.0,0.0,79.67960879607777,14.817828337479405,51.77448454147459,4.794537184071822,61.31636884127672,0.0,0.0,0.0,119.05,10.023291153407584,18.00687135247258,0.0,35.74769502703243,35.845599630724294,11.250837766380558,27.413879965903813,30.277159422063963,37.07042011860312,21.863681329499244,0.0,28.00892714693331,0.0,39.12900389394932,3.099879575274146,3.3145701136980863,0.4164771591532454,12.125987283634489,2.805157541294814,6.434109493467164,-0.2507788740712289,0.2592592592592592,39,1,11,0,2,2,2,1,3,8,1,12,5,0,1,1,5,0.7849400000000022,145.1859999999998,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL4089152,12.843617646132524,12.843617646132524,0.0761791383219954,-0.4999395313681032,0.4762996337456841,14.857142857142858,378.4320000000001,356.2560000000001,378.169190564,144,0,0.3294160626478196,-0.4941570822193347,0.4941570822193347,0.3294160626478196,1.2142857142857142,2.0,2.642857142857143,16.280666580881732,9.781667166039082,2.4558731464457946,-2.38815582097209,2.539211808725789,-2.613613555061993,5.818890299672249,0.3707645263739743,2.9692639080300234,2.067676255149437,1182.0853706415046,19.999271042140983,15.820909595314626,15.820909595314626,13.455927458031292,9.19300100878406,9.19300100878406,6.9556072232691575,6.9556072232691575,5.20646884188418,5.20646884188418,3.879054512013348,3.879054512013348,-3.48,2641374.033194084,17.910109518658732,6.597624253408721,2.584829736880508,161.14029163867735,14.99041564663839,5.817862777835028,5.879988336435371,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,6.578935683598497,35.90493987237732,19.410925891078243,24.849807875135223,17.16874381254195,5.106527394840706,0.0,0.0,14.11817781652992,0.0,32.85489325736779,5.316788604006331,103.594395653033,0.0,0.0,5.316788604006331,0.0,0.0,0.0,19.224705211370622,13.08951281182515,57.81179084868805,12.841643245852016,52.706342004035534,0.0,0.0,0.0,92.05,17.166916339416876,14.69560176298435,0.0,5.879988336435371,35.72166484773773,11.126902983393991,4.567099647791355,16.839963326238312,38.11294267322769,16.879702808552036,0.0,3.16971450617284,0.0,27.579100340396337,14.084316893424036,2.759312847562758,0.03927484882842,7.838341836734694,3.468370391366423,8.394901668847826,0.0,0.238095238095238,28,3,7,0,1,1,1,2,3,6,3,7,4,0,0,0,4,3.1525300000000005,105.59120000000004,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4084046,12.03440126256264,12.03440126256264,0.1505555555555555,-0.7200453514739229,0.7269937128038937,11.0,335.23,319.102,334.052735112,114,0,0.1407167648396428,-0.2991819908773713,0.2991819908773713,0.1407167648396428,0.7727272727272727,1.181818181818182,1.4545454545454546,35.496797468868515,9.745218520559876,2.3338605909296617,-2.27013942616711,2.377397205462948,-2.28433147967487,6.315009414425523,-0.1304442519091268,2.4582423935652806,2.57039827663763,615.7382734399439,16.27565640300939,12.34592821884244,13.857786110879353,10.396754605515325,6.916981045277513,7.672909991295968,5.279745068449136,6.152616629393108,3.6675193947923472,4.171472025471317,2.673244285756002,2.9252206010954875,-1.6399999999999992,71033.37220446234,16.72576470423207,7.0802268431001885,3.7602344291118337,139.6077266657915,0.0,11.566489892729878,0.0,0.0,0.0,0.0,9.589074368143644,0.0,0.0,0.0,47.46734805431147,49.23984565662168,15.963172673644046,5.917906046161393,9.589074368143644,34.76836967319491,0.0,0.0,5.917906046161393,19.76538044554264,0.0,69.70310615856953,0.0,0.0,0.0,0.0,0.0,23.20187978046503,11.566489892729878,9.589074368143644,17.044809029555385,19.76538044554264,48.53093654769288,10.045266627482652,0.0,0.0,34.14,5.917906046161393,9.589074368143644,0.0,17.48439593889127,10.045266627482652,11.126902983393991,13.847474399381248,24.26546827384644,24.26546827384644,0.0,23.20187978046503,0.0,11.8729770303183,24.06880252512528,1.2237150415721851,1.7539304610733188,-1.3641811539430595,14.435027014921197,0.0,2.8986179698216734,0.0,0.2222222222222222,22,0,2,0,0,0,2,0,2,2,0,4,5,0,0,0,2,4.810080000000004,89.06700000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4069010,12.71174744897959,12.71174744897959,0.0438888888888886,-0.7170342025699166,0.7385868488324874,12.217391304347826,308.31300000000005,294.201,308.09283150791,116,0,0.3390800726814632,-0.8705429566986392,0.8705429566986392,0.3390800726814632,1.2608695652173914,2.0869565217391304,2.782608695652174,16.54171296934391,9.825966483741164,2.330688961741556,-2.3157594305816462,2.438469985560628,-2.3372395912314032,5.991635815177497,-0.2703035364038038,2.5418948439378184,2.258072467553032,915.2029454239386,16.396976746569035,12.483465961248593,12.483465961248593,11.07538740046941,7.207603767688,7.207603767688,5.351872507277966,5.351872507277966,3.6949481187560567,3.6949481187560567,2.678425743922395,2.678425743922395,-2.95,187785.02349075023,14.96535934101532,6.042175350040524,2.853986544028881,131.7716730721217,9.523678331894054,5.783244946364939,5.583020141642242,0.0,0.0,5.625586319077987,9.77851570501903,4.794537184071822,0.0,0.0,36.08134717559196,24.61992282831084,24.09902273239748,5.516700717616262,14.318215515965877,5.783244946364939,0.0,4.9839785209472085,0.0,19.262464868778025,0.0,87.05767222993056,0.0,0.0,5.106527394840706,0.0,0.0,0.0,10.767223467312148,4.794537184071822,33.601721995014394,19.262464868778025,57.87310117196952,0.0,0.0,0.0,83.22999999999999,17.293004198523285,14.69560176298435,0.0,28.86723892024645,0.0,5.563451491696996,19.18694783976531,30.33183534230805,6.06636706846161,4.9839785209472085,4.417150937053347,5.228290107709751,0.0,27.988869834971023,12.71174744897959,0.2204203934660296,-1.227240698748635,12.11988436423952,1.5261511873267826,1.4318773620559333,0.0,0.1666666666666666,23,0,5,0,0,0,1,2,3,5,0,5,4,0,0,0,3,2.27224,80.06800000000004,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4071717,11.938057497690432,11.938057497690432,0.0633684191040719,-0.3040204422818509,0.8055702939647736,10.166666666666666,411.683,395.55500000000006,410.003282152,126,0,0.2618061749200628,-0.4822035302458383,0.4822035302458383,0.2618061749200628,1.25,2.0,2.583333333333333,79.91873176051266,10.168089334066078,2.123056301284817,-2.181361760326963,2.3396427255018324,-2.2387121810981547,9.1039103657872,-0.1179889107908179,2.536929974670828,1.9111113633492176,750.0009163604833,17.689869965382485,13.17644607842393,15.518371563557093,11.363081100704113,7.086393701651528,8.257356444218107,5.036504382733422,6.3593800382657175,3.263393525239322,4.0520147291734006,1.8828100725550183,2.610787441099792,-2.049999999999999,188676.5560762188,18.290989457995742,8.168232713967688,4.974366365146569,153.2303070134729,14.953561288656855,5.749511833283905,6.606881964512918,5.907179729351506,5.907179729351506,0.0,9.589074368143644,0.0,0.0,0.0,27.530883788181864,42.46456947923127,29.81890124756735,5.022633313741326,14.325937321943693,39.34524324688488,0.0,0.0,0.0,6.923737199690624,23.87125228204692,69.08420669145605,0.0,0.0,14.953561288656855,0.0,0.0,27.530883788181864,25.46891340589312,9.589074368143644,17.12428438265103,6.923737199690624,46.93728899506368,5.022633313741326,0.0,0.0,58.64,0.0,9.589074368143644,0.0,18.42124142321593,16.459531421708792,10.160105790515976,11.823646930541102,49.51224146190846,0.0,21.24673250195568,16.337802844032566,6.2347489665540365,9.32841549046544,24.75738503108851,3.1434679821867286,1.3653688694963049,0.0709885298215553,12.11108490296291,0.0,1.330090774756157,1.6862272304461363,0.1764705882352941,24,1,5,0,0,0,2,0,2,3,1,7,5,0,0,0,2,2.8790700000000005,96.54470000000002,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4163466,12.948820231796422,12.948820231796422,0.1974092970521546,-3.6076618008314414,0.8363411179233887,17.875,344.39200000000017,328.2640000000001,344.083077992,124,0,0.2652745223319094,-0.274354521730497,0.274354521730497,0.2652745223319094,1.125,1.8333333333333333,2.5,32.23344784494306,9.908146973021545,2.4206481385759653,-2.2263472354007527,2.5076873462879683,-2.3160994627273195,7.891033454981761,-0.1154549826076051,3.1658537414876413,1.9963087660653327,991.0627827361086,17.060113453385565,13.150847114013551,13.96734369494128,11.425557486208351,7.836256418527048,9.276319747327689,6.081731407687968,7.988088272466054,4.65078469844974,6.607578052177485,3.560871434688309,5.265978112130619,-2.249999999999999,448601.4751687988,15.287802265074992,5.122453621296626,1.9448845433378268,139.25948757785935,0.0,0.0,0.0,15.930470882759089,5.907179729351506,0.0,9.589074368143644,13.317706715179416,4.305215991296234,0.0,12.13273413692322,31.040744451236847,30.78569844044537,16.14632124189833,18.00687135247258,21.8376506121106,0.0,4.305215991296234,0.0,19.765380445542643,17.98942254267563,57.25060501313597,0.0,0.0,4.899909730850478,0.0,0.0,0.0,37.626885246153336,14.817828337479405,26.918769670827924,24.559917629614464,30.33183534230805,0.0,0.0,0.0,74.76,15.930470882759089,18.00687135247258,0.0,10.80266320486928,35.1127990071353,17.741552976702497,17.295320259448467,24.26546827384644,0.0,0.0,0.0,27.38035367850844,0.0,25.614156878450032,1.034233276643991,0.8283739606953893,-0.7856754430167125,8.04392542202066,1.7164609994849895,2.3591663613779863,-3.6076618008314414,0.2941176470588235,24,0,6,0,2,2,2,0,2,4,0,7,2,0,1,1,4,1.15925,86.70530000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL4214313,11.879481485125424,11.879481485125424,0.1052417695473248,0.1052417695473248,0.8409318438963941,17.523809523809526,280.37100000000004,260.211,280.15756326,108,0,0.223493958876479,-0.3610165082132271,0.3610165082132271,0.223493958876479,1.0952380952380951,1.809523809523809,2.4761904761904763,16.152282947965794,10.015284015362914,2.3233837759927125,-2.4466144639575664,2.41422853962847,-2.499003953610749,5.995988104761973,-0.1162309680928162,2.5037692060061536,1.972985796222349,638.6764029123174,14.819626477379408,12.490391735733136,12.490391735733136,10.16470379794645,7.342784782222052,7.342784782222052,5.5808590439364005,5.5808590439364005,4.036668287994967,4.036668287994967,2.9531520239212186,2.9531520239212186,-2.289999999999999,79189.21244756263,13.68203547366416,5.602297368900154,2.637355818404118,125.35350829886195,9.799819461700956,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,42.46456947923127,24.61992282831084,26.055090840663738,11.374772549367124,4.794537184071822,5.907179729351506,0.0,0.0,0.0,26.434071634441786,16.344575867613532,71.53552765721861,0.0,0.0,9.799819461700956,0.0,0.0,0.0,18.49377696441204,11.339293589984395,16.93822404106412,13.847474399381248,54.59730361615449,0.0,0.0,0.0,23.550000000000004,0.0,4.794537184071822,0.0,5.907179729351506,6.041840829147961,24.464285361192275,5.563451491696996,6.923737199690624,29.165378004696915,42.15548227284915,0.0,0.0,0.0,16.135037040680977,0.0,3.4349650415721853,0.1052417695473248,18.91293004275733,0.0,5.411826105442177,0.0,0.2777777777777778,21,0,3,0,1,1,2,0,2,2,0,3,2,0,0,0,3,2.632270000000001,84.64200000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3590392,12.119159273095075,12.119159273095075,0.0822343474426803,-0.0831197082983141,0.6655919570290492,22.933333333333334,414.5300000000002,382.2740000000002,414.24996630409,162,0,0.2509354728457396,-0.3698949853987909,0.3698949853987909,0.2509354728457396,1.3666666666666667,2.1666666666666665,2.933333333333333,16.489005408504994,9.966874109106085,2.3229695172445584,-2.351931384361193,2.332974990537948,-2.899802478889601,6.014485278010854,-0.6699748437918848,2.7458345240613142,1.409619292336387,951.428814800803,21.08721119088102,17.81747819621127,17.81747819621127,14.508040390846984,10.949598941027949,10.949598941027949,8.579045519268472,8.579045519268472,6.4094318626869455,6.4094318626869455,4.4775178143728525,4.4775178143728525,-2.45,7341526.78364464,20.807898698439143,9.138396883374352,4.649467769121553,175.94603837463313,25.254328413610395,12.648722793660877,5.817862777835028,5.907179729351506,5.559266895052007,0.0,9.589074368143644,4.9839785209472085,0.0,0.0,0.0,37.81602062862726,43.58059091221665,24.71017991718972,14.8481887418782,5.907179729351506,0.0,14.867866772744891,5.917906046161393,45.25574648505554,38.102696192169546,50.9676209892732,0.0,0.0,10.633577208012662,0.0,0.0,0.0,65.70676130715589,9.53140013787187,40.6851493425171,26.186202068468653,23.12411489260812,0.0,0.0,0.0,103.93,0.0,9.589074368143644,0.0,23.612253841299776,17.299220315693418,62.95129738902229,0.0,13.1205807713037,23.95638106746432,20.60153424990708,4.736862953800049,6.36098022696733,0.0,33.01712696083205,6.819595786074862,1.3631345406846822,1.3698047529418074,3.964375307999947,4.829059778673255,7.775922645826066,0.0,0.5909090909090909,30,4,8,0,2,2,0,2,2,5,3,8,5,0,2,2,4,0.6589700000000029,112.31780000000006,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHEMBL4088793,14.43073120974924,14.43073120974924,0.0132033859981262,-2.6431294996600183,0.4806455002382992,17.8,551.642,516.3620000000003,551.2820298,212,0,0.2640249298083497,-0.3427834295739457,0.3427834295739457,0.2640249298083497,1.0,1.75,2.4,19.279750108926383,9.868411675449714,2.4054194763967924,-2.3766065972531765,2.4949312218021,-2.4196557913524543,5.83661401175084,-0.1301513372652851,3.5492550264327334,1.4313371876660637,1454.6324232058769,28.1286630752084,23.238090122449112,23.238090122449112,19.20641769360464,14.037156647132589,14.037156647132589,11.147975346390226,11.147975346390226,8.64184827949707,8.64184827949707,6.500975009596306,6.500975009596306,-3.7599999999999993,1515444669.7952476,26.46200061902553,10.330460684896268,4.645769013128114,231.8801969462516,14.699729192551434,0.0,5.817862777835028,11.814359458703011,6.425444744859191,0.0,18.952680238434013,8.78083009534964,10.197363616602075,0.0,0.0,48.94292361202125,87.76350594487083,18.78344080667361,18.369904463493285,11.814359458703011,0.0,29.3607889485934,7.04767198267719,64.96362449393102,31.078935354500786,69.5428557860014,0.0,0.0,4.899909730850478,8.78083009534964,0.0,0.0,67.35417403094671,36.02314600258543,45.016434505852025,45.57722484216643,24.52642128014937,0.0,0.0,0.0,79.5,6.425444744859191,18.369904463493285,0.0,23.41965177954797,50.27150663588287,54.00936652246507,0.0,44.03700352889139,15.866186530162564,14.6803944742967,5.098681808301038,32.60041008231442,0.0,30.036227131297625,9.354183375541943,5.0403038505354605,0.8552275396800345,3.66936197892939,4.707285275950118,6.293106099119552,1.7772279999647929,0.5172413793103449,40,0,9,0,3,3,1,2,3,7,0,11,4,0,1,1,6,3.0334200000000013,142.44099999999986,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,7,0,0,0,0,1,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4086422,14.080099397000378,14.080099397000378,0.0318192838940496,-2.5769070172452206,0.5514681819798934,15.65625,436.5060000000001,410.2980000000001,436.207467892,166,0,0.2640249240995566,-0.3412320724174711,0.3412320724174711,0.2640249240995566,1.03125,1.78125,2.46875,19.27974416640606,9.865056453014905,2.3101262375728893,-2.3859914731991574,2.4753720084668696,-2.3536317508058207,5.950507997819293,-0.1162163960680221,3.225091415056666,1.5789680768561158,1186.6801733985508,22.405048436076804,18.314474459118443,18.314474459118443,15.418723993369944,11.046920618794614,11.046920618794614,8.61396309616105,8.61396309616105,6.493897422566652,6.493897422566652,4.986375671312239,4.986375671312239,-3.2199999999999984,27137786.494216103,20.66985232963596,8.039769583192967,3.552673382079842,185.80284407179647,9.799819461700956,0.0,0.0,5.907179729351506,6.425444744859191,0.0,9.476340119217006,8.78083009534964,5.098681808301038,0.0,0.0,72.70547630910308,61.44682737325071,6.196843571613076,13.575367279421462,5.907179729351506,0.0,9.780484743446223,7.04767198267719,39.03246843625385,22.889332273526108,87.60493876806989,0.0,0.0,9.799819461700956,8.78083009534964,0.0,0.0,28.77717728462288,24.68385241260103,44.87941628253567,26.190825190401835,42.725522485534206,0.0,0.0,0.0,41.370000000000005,6.425444744859191,13.575367279421462,0.0,11.4706312210485,11.126902983393991,66.96186111097387,0.0,37.11326632920076,23.099010936235302,16.064958607613125,0.0,29.792919601176656,0.0,15.96682952398683,4.160806589485376,6.299911898695548,0.0477078862174671,9.693571081963036,4.477896716626564,3.1069707955327885,1.7867192396490703,0.36,32,0,5,0,2,2,2,1,3,4,0,7,3,0,0,0,5,3.722120000000003,117.12600000000002,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
