ID,SMILES,Affinity(kcal/mol)
CHEMBL3979343,Cc1ccc2c(c1)C(=O)N(c3cnc(nc3N2C)Nc4cccc(c4)S(=O)(=O)N5CCN(CC5)C(=O)C=C)C,-8.97
CHEMBL4089152,CCn1c2c(c(=O)[nH]c1=O)C(C3C(=N2)CN(C3=O)CC=C)c4ccc(cc4)C,-7.76
CHEMBL4084046,CC(=O)C(C(c1ccc(cc1)Cl)c2ccc(cc2)Cl)C(=O)C,-7.11
CHEMBL4069010,CC(=O)CC(c1ccccc1)c2c(c3c(cccn3)oc2=O)[O-],-7.28
CHEMBL4071717,CC(=O)N(C)c1ccc(cc1)NC(=O)COc2ccc(cc2Cl)Br,-7.48
CHEMBL4163466,CC(=O)N1c2ccc(c3c2c(ccc3)C1=O)S(=O)(=O)N4CCCC4,-8.67
CHEMBL4214313,CC1CN(c2ccccc2N1Cc3ccccc3)C(=O)C,-8.15
CHEMBL3590392,Cc1cc2ccnc(c2[nH]c1=O)NC3CC[NH2+]CC3OCC4CCN(CC4)C(=O)C,-8.16
CHEMBL4088793,CC(=O)N1CCC(CC1)n2c3c(c(n2)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)CN(CC3)C(=O)C,-9.01
CHEMBL4086422,CC(=O)N1CCCc2c1ccc(c2)N3CCCc4c3cc(c(c4)c5cnn(c5)C)C(F)F,-7.46
CHEMBL4214299,Cc1cccc(c1)CN2CCN(c3c2cccc3)C(=O)C,-7.73
CHEMBL4218053,CC(=O)N1CCN(c2c1cccc2)Cc3ccccc3,-8.07
CHEMBL3898753,CC(=O)N1CCc2c(c(n[nH]2)Nc3cccc(c3)C(F)(F)F)C1,-8.95
CHEMBL3959584,CC(=O)N1CCc2c(c(n[nH]2)Nc3ccccc3)C1,-7.51
CHEMBL4207080,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4c[nH]c5c4cccc5)C1,-9.14
CHEMBL4203862,Cc1cc2ccncc2c(c1)c3c4c(n(n3)C5CCOCC5)CCN(C4)C(=O)C,-9.16
CHEMBL4207560,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cc(cc5c4cncc5)Cl)C1,-8.94
CHEMBL4215166,Cc1ccc(c2c1ccnc2)c3c4c(n(n3)C5CCOCC5)CCN(C4)C(=O)C,-9.14
CHEMBL4210763,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cccc5c4cc[nH]5)C1,-9.31
CHEMBL4208936,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cccc5c4cncc5Cl)C1,-8.94
CHEMBL4204065,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cccc5c4cnc(c5)c6cn(nc6C#N)C)C1,-7.9
CHEMBL4209361,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cccc5c4cnc(c5)c6cn(nc6C(F)F)C)C1,-9.89
CHEMBL4203082,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cccc5c4cnc(c5)c6cnn(c6)C)C1,-9.39
CHEMBL4204490,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cccc5c4cnc(c5)c6cnn(c6C#N)C)C1,-9.29
CHEMBL4207965,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cccc5c4cnc(c5)c6cnn(c6C(F)F)C)C1,-9.88
CHEMBL4218138,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4cccc5c4cncc5)C1,-9.39
CHEMBL4206026,CC(=O)N1CCc2c(c(nn2C3CCOCC3)c4ccnc5c4cccc5)C1,-9.33
CHEMBL4083416,CC(=O)N1CCc2c(c(nn2C3CCOC3)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)(F)F)C1,-7.41
CHEMBL4091202,CC(=O)N1CCc2c(c(nn2C3CCCCC3)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,-7.39
CHEMBL4098938,CC(=O)N1CCc2c(c(nn2C3CC[NH+](CC3)C)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,-9.15
CHEMBL4060566,CC(=O)N1CCc2c(c(nn2C3CCN(CC3)S(=O)(=O)C)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,-9.11
CHEMBL4080905,CC(=O)N1CCc2c(c(nn2C3CC[NH2+]CC3)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,-9.15
CHEMBL4076748,CC(=O)N1CCc2c(c(nn2C3CCOCC3)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,-9.04
CHEMBL4061161,CC(=O)N1CCc2c(c(nn2C3CCS(=O)(=O)CC3)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,-9.35
CHEMBL4061600,CC(=O)N1CCc2c(c(nn2C3CCOC3)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,-7.92
